Pitch	Ball_X	Ball_Y	 Ball_V	 Abner_V	 Speed	 Elevation	 Estmated Z	 Abner_Crush	 Omega	 Abner_RPM	 Abner_URPM	 Abner_LRPM	 FRate	 Start Frame	 Frames	 Ball-Thres	 Mark-Thres	 Markers	 Scale	 InitialX	 InitialY	 CL	 rw/V
54	-4	-10.25	101	102.6666667	104.4	-1.45	-14.5	1.07	-868.3	-1300	1425	1736	500	2	7	18	88	0.791	1.198	55.347	6.329	0.249768	0.045816
55	-4	1.5	111	110	114.1	-1.46	-5.5	1.07	-880.3	-1300	1549	1860	500	2	7	18	88	0.791	1.181	55.359	6.33	0.276173	0.0425
56	-5	-1	111	110	113.5	-1.42	-5.4	1.07	-939.9	-1300	1549	1860	500	2	7	18	88	0.791	1.2	55.42	6.329	0.250532	0.045617
57	-4	1	111	110	114.6	-1.59	-6.3	1.07	-942.2	-1300	1549	1860	500	2	7	18	88	0.791	1.197	55.27	6.326	0.281788	0.04529
58	-6	5.5	119	117.3333333	122.6	-1.55	-0.8	1.07	-773.6	-1300	1673	1984	500	2	7	18	88	0.791	1.182	55.367	6.323	0.261119	0.034759
59	-4.5	6	119	117.3333333	122.7	-1.48	0.3	1.07	-816.1	-1300	1673	1984	500	2	7	18	88	0.791	1.194	55.372	6.324	0.256925	0.036639
60	-5	6	119	117.3333333	122.3	-1.6	-1.1	1.07	-900.2	-1300	1673	1984	500	2	7	18	88	0.791	1.191	55.328	6.323	0.274673	0.040547
61	-6	8	126	124.6666667	130.7	-1.75	2.1	1.07	-855.2	-1300	1797	2108	500	2	7	18	88	0.791	1.2	55.307	6.317	0.258508	0.036044
62	-5.5	9.5	126	124.6666667	130.4	-1.71	2.3	1.07	-821.2	-1300	1797	2108	500	2	7	18	88	0.791	1.189	55.223	6.318	0.270785	0.034691
63	-7	12	126	124.6666667	130.8	-1.55	3.9	1.07	-694	-1300	1797	2108	500	2	7	18	88	0.791	1.223	55.288	6.324	0.275269	0.029228
64	-6.5	10	133	132	136.9	-1.89	3.3	1.07	-770.5	-1300	1921	2232	500	2	7	18	88	0.791	1.212	55.221	6.309	0.262467	0.031004
65	-8.75	12	133	132	137.4	-1.77	4.9	1.07	-757.2	-1300	1921	2232	500	2	7	18	88	0.791	1.186	55.253	6.316	0.265873	0.030358
66	-9	12	132	132	136.9	-1.62	6.5	1.07	-757.4	-1300	1921	2232	500	2	7	18	88	0.791	1.225	55.24	6.321	0.248821	0.030477
67	-8	12.5	138	139.3333333	141.4	-1.77	6.2	1.07	-643	-1300	2045	2356	500	2	7	18	88	0.791	1.229	55.268	6.315	0.25113	0.02505
68	-8.5	14.5	138	139.3333333	141.1	-1.56	8.8	1.07	-724.8	-1300	2045	2356	500	2	7	18	88	0.791	1.231	55.347	6.321	0.24777	0.028297
69	-8	10	136	139.3333333	140.1	-1.88	3.9	1.07	-603.1	-1300	2045	2356	500	2	7	18	88	0.791	1.234	55.249	6.306	0.24514	0.023714
70	-5	7	141	146.6666667	145.1	-2.03	3.1	1.07	-484	-1300	2169	2480	500	2	7	18	88	0.791	1.278	55.217	6.3	0.20788	0.018375
71	-5	3	139	146.6666667	142.8	-2.05	-0.9	1.07	-297.7	-1300	2169	2480	500	2	5	17	70	0.791	1.338	55.145	6.298	0.176777	0.011484
72	-5	3.5	139	146.6666667	143.4	-2.14	-0.4	1.07	-378.3	-1300	2169	2480	500	2	7	18	88	0.791	1.237	55.351	6.3	0.192734	0.014532
73	-2	-30	88	95.33333333	90	-1.3	-31.7	1.07	-969.2	-1500	1254	1612	500	2	7	18	88	0.791	1.176	55.444	6.334	0.235662	0.059322
74	-3	-28.5	88	95.33333333	91.3	-1.35	-30	1.07	-955.3	-1500	1254	1612	500	2	7	18	88	0.791	1.181	55.308	6.334	0.230801	0.057639
75	-2.5	-28	88	95.33333333	91.5	-1.27	-28.7	1.07	-950.2	-1500	1254	1612	500	2	7	18	88	0.791	1.173	55.326	6.335	0.223027	0.057206
76	-3	-11	98	102.6666667	102.8	-1.41	-14.9	1.07	-1023.3	-1500	1377	1736	500	2	7	18	88	0.791	1.196	55.278	6.331	0.254727	0.054835
77	-2	-11	100	102.6666667	102.4	-1.33	-14.8	1.07	-974.9	-1500	1377	1736	500	2	7	18	88	0.791	1.194	55.349	6.334	0.250685	0.052445
