Walt Disney Company (DIS)					
Daily prices (3/29/96 to 3/29/99)					
DATE   	OPEN	HIGH   	LOW   	CLOSE   	VOLUME
2/20/98	37.8769	38.292	37.75	38.125	4157700
2/19/98	38.0427	38.5	37.833	38.063	3682500
2/18/98	37.4622	38.417	37.375	38.292	3595500
2/17/98	37.2135	37.667	37.25	37.667	4417500
2/16/98	NaN	NaN   	NaN   	NaN   	NaN
2/13/98	36.2598	37.208	36.438	37.146	2891700
2/12/98	36.4878	36.813	36.292	36.708	4108500
2/11/98	35.9903	36.938	36.104	36.938	3872100
2/10/98	35.8866	36.375	35.5	36.167	3352800
2/9/98	36.2183	36.542	35.854	35.896	2580600
2/6/98	35.9281	36.375	36.021	36.188	2215800
2/5/98	36.0732	36.458	35.813	36.104	3490500
2/4/98	35.6378	36.25	35.771	36.104	3404400
2/3/98	35.7415	36.083	35.583	36	4170300
2/2/98	35.4513	36.417	35.604	36.271	5508000
1/30/98	35.1818	35.958	35.104	35.625	4269300
1/29/98	34.7464	36.125	34.875	35.417	5487900
1/28/98	34.4769	35.583	34.5	35	8837100
1/27/98	32.8183	34.708	32.958	34.25	9700200
1/26/98	32.7976	33.104	32.333	32.458	3054300
1/23/98	32.3415	33.063	32.271	32.875	5458500
1/22/98	32.7147	32.875	32.104	32.167	2659500
1/21/98	32.8391	33.167	32.688	32.958	3513300
1/20/98	32.1756	33.25	32.25	33.125	4008600
1/19/98	NaN	NaN   	NaN   	NaN   	NaN
1/16/98	31.9269	32.188	31.75	32.042	4426800
1/15/98	31.761	32.021	31.563	31.896	2991300
1/14/98	31.533	32.375	31.396	32.167	3380700
1/13/98	31.3049	31.833	31.25	31.667	5000700
1/12/98	31.2013	32.042	31.188	31.479	6062400
1/9/98	32.4037	32.583	32	32	5354100
1/8/98	32.611	32.813	32.313	32.563	2787900
1/7/98	32.5281	32.833	32.458	32.833	4410300
1/6/98	32.6294	32.896	32.667	32.813	4244100
1/5/98	33.2919	33.583	32.563	32.938	11730600
1/2/98	33.0642	33.271	32.875	33.208	2924700
1/1/98	NaN	NaN   	NaN   	NaN   	NaN
12/31/97	32.8364	33.417	32.896	33	4040400
12/30/97	32.5052	33.417	32.667	33	6004500
12/29/97	31.7598	32.479	31.833	32.333	2278500
12/26/97	31.6563	32.063	31.625	31.688	646200
12/25/97	NaN	NaN   	NaN   	NaN   	NaN
12/24/97	32.2981	32.563	31.604	31.667	1642800
12/23/97	32.3602	32.833	32.479	32.5	4159800
12/22/97	31.7391	32.646	31.917	32.458	3298200
12/19/97	31.9048	32.125	31.083	31.938	7825200
12/18/97	32.1325	32.604	32.083	32.438	4134300
12/17/97	31.9669	32.313	32.104	32.271	2789100
12/16/97	32.1739	32.375	31.896	32	4259700
12/15/97	31.2836	32.438	31.396	32.375	5674500
12/12/97	30.8489	31.521	30.958	31.208	3836700
12/11/97	30.8075	31.083	30.688	30.938	3417300
12/10/97	31.0352	31.333	31.083	31.271	2838900
12/9/97	31.2836	31.771	31.146	31.438	3741300
12/8/97	31.3665	31.563	31.313	31.458	3298500
12/5/97	30.8075	31.479	31	31.333	5404200
12/4/97	30.9938	31.313	31.083	31.188	7052700
12/3/97	31.9048	32.25	31.396	31.729	3508200
